access_group,model,split,note,status,coverage,rows,empty_predictions,exact_match_rate,hallucination_rate,cer,wer,micro_cer,micro_wer,char_fscore,total_cost_usd,avg_latency_sec
closed,Gemini Pro,handwritten,full clean-ish,ok:910; empty_prediction:9,1.0,919,9.0,0.0391730141458106,0.0097932535364526,0.5899965011676537,0.7092942211013745,0.6329276105060858,0.7400184748024222,0.524840271055179,4.99201200000004,5.220357965722567
closed,Gemini Pro,printed,full printed run; budget-error rows backfilled from older Gemini Pro output,ok:11271; empty_prediction:121,1.0,11392,121.0,0.047928370786516857,0.011411516853932584,0.654583667445386,0.6840870269381156,0.6979700629637432,0.7202845341899954,0.46919061824718733,61.410764,4.630270391242223
closed,GPT-5.4 mini,handwritten,full,ok:919,1.0,919,0.0,0.0184983677910772,0.0,0.3106535882244579,0.7076914088455777,0.3081541136634025,0.7010161141332238,0.7526813821538347,0.8301009999999996,1.2449668027111962
closed,GPT-5.4 mini,printed,partial/running if rows<11392,ok:11392,1.0,11392,0.0,0.2176966292134831,0.0,0.08195269803612,0.2418265987285791,0.081030637127437,0.2363415424497731,0.9390764437939678,4.006786000000002,1.2574015759726924
open/general,Qwen 8B,handwritten,full,ok:919,1.0,919,1.0,0.0206746463547334,0.0097932535364526,0.2605766426199996,0.6321500108122059,0.2599798663860163,0.6299907625987888,0.7895794580346043,0.7700439999999986,1.408527614242753
open/general,Qwen 8B,printed,full,ok:11392,1.0,11392,0.0,0.5088658707865169,0.0,0.026332783315143,0.1050827209257592,0.0238792774676698,0.100348347375243,0.9823360653070198,3.942397499999988,1.003267500527476
open/general,Qwen 32B,handwritten,full,ok:919,1.0,919,0.0,0.0184983677910772,0.0076169749727965,0.3022546513615621,0.6803846410156018,0.2927610506085842,0.6654008005747716,0.7642888582961069,0.7817199999999995,1.711151031207727
open/general,Qwen 32B,printed,full,ok:11392,1.0,11392,0.0,0.4989466292134831,0.0,0.0240519402486652,0.1043352138791903,0.0239081695154225,0.1048849643551523,0.9818303441505698,3.94877550000001,1.3010844967715192
open/general,EasyOCR,handwritten,full local,ok:918; empty_prediction:1,1.0,919,1.0,0.001088139281828,0.001088139281828,0.4527249410712011,1.0692059056641725,0.4479912144229889,1.0481371240890895,0.620966722113598,0.0,0.0903752205550865
open/general,EasyOCR,printed,full local,ok:11372; empty_prediction:20,1.0,11392,20.0,0.1774929775280899,0.001755617977528,0.0681306477750114,0.2753004792601655,0.0648409781691687,0.2712572909915748,0.954940506719013,0.0,0.0471235483549953
open/general,Gemma-3-27B,handwritten,full,ok:919,1.0,919,0.0,0.0087051142546245,0.0119695321001088,0.7662829785764025,1.234367644514796,0.826667886885696,1.2915939648978754,0.4549127580195826,0.0335770399999999,1.2785197080024828
open/general,Gemma-3-27B,printed,full strict prompt,ok:11150; empty_prediction:197; error:45,1.0,11392,242.0,0.052317415730337,0.0308988764044943,0.5012673829218318,0.8346172710115511,0.5622450276785818,0.8946289695398574,0.5654265185198973,0.3931179200000004,2.108084756504284
arabic-specialized,Qari-OCR v0.3,handwritten,"full, html stripped",ok:913; error:6,1.0,919,8.0,0.0076169749727965,0.0413492927094668,0.4367320813999462,0.9853499593228384,0.4331838565022421,0.9591501590885764,0.6860619268137655,0.0,2.068648719683825
arabic-specialized,Qari-OCR v0.3,printed,"full, html stripped",ok:11379; error:5; empty_prediction:8,1.0,11392,15.0,0.4710323033707865,0.0136938202247191,0.0847317543577329,0.16780069924765,0.0815535831917623,0.1588058976020739,0.952888240507886,0.0,0.7455746977893489
arabic-specialized,AIN 7B,printed,full after five-row retry,ok:11392,1.0,11392,0.0,0.8228581460674157,0.0,0.0045352629532534,0.0274054560346175,0.0043771452345456,0.0278353856124432,0.9968007296099808,0.0,0.9829155948180496
arabic-specialized,AIN 7B,handwritten,merged original+A4500 retry+A100 retry,ok:919,1.0,919,0.0,0.3155603917301414,0.0,0.0555961077780429,0.194042168015426,0.0588084561178731,0.2046597557220568,0.9537959841711856,0.0,1.1972093366824244
closed,Gemini Flash,handwritten,standardized 919-row handwritten subset from raw Flash file,ok:915; unknown:3; error:1,1.0,919,3.0,0.0554951033732317,0.0021762785636561,0.3118160682132752,0.4642550561207834,0.3300311704579736,0.457399555847769,0.6699688295420263,4.6753325,1.950323485706332
closed,Gemini Flash,printed,existing filtered printed Flash evaluation with hallucination/Char F1 added,ok:7819,unknown,7819,0.0,0.3581020590868397,0.0,0.0312309550431052,0.1541977420311024,0.0292226403808289,0.1422388719547665,0.970777359619171,39.357965,3.926097718496216
open_access,Qwen2.5-VL-72B,handwritten,full 919-row handwritten run via OpenRouter,ok:919,1.0,919,0.0,0.0141458106637649,0.0032644178454842,0.379977179827081,0.6871614061952531,0.3666475583103435,0.6696951342620634,0.6333524416896564,0.4870655999999664,2.398060378883038
