access_group,model,split,id,font,status,cer,gt_text,prediction,error_msg
closed,Gemini Pro,handwritten,A0004_Para3_4,,empty_prediction,1.0,الناس، واستعنائه عما في أيديهم، وصرفه في وجهه من صلة الرحم ، والإفضال,,Model returned empty text
closed,Gemini Pro,handwritten,A0016_Para2_3,,empty_prediction,1.0,أصبحت أما ، وتغبط الحوامل الكبيرات السن لأن بوسعهن أن يعملن وقتا,,Model returned empty text
closed,Gemini Pro,handwritten,A0022_Para3_3,,empty_prediction,1.0,هو الأزمه الماليه العالميه،التى تؤثر على إقتصاد كافه الرول .,,Model returned empty text
closed,Gemini Pro,handwritten,A0049_Para3_5,,empty_prediction,1.0,الصين هذا العام.,,Model returned empty text
closed,Gemini Pro,handwritten,A0056_Para3_3,,empty_prediction,1.0,الدراسة . أعتقد أن هذا غير مسر فى اماكن أخرى ولا يوجد مثله في كثير من,,Model returned empty text
closed,Gemini Pro,handwritten,A0141_Para3_5,,ok,1.0,هام.,هو كي,
closed,Gemini Pro,handwritten,A0151_Para2_1,,empty_prediction,1.0,هذا المركز العالمي الأشعاعي الفكري والذي # نعتز ونفتضر بنشاطه الفكري,,Model returned empty text
closed,Gemini Pro,handwritten,A0158_Para3_2,,empty_prediction,1.0,الشعبي كلها الذي وجدت في كتاب الأخ الأستاذ علي مضطفى المصراتي،,,Model returned empty text
closed,Gemini Pro,printed,Akbaar_1408,Akbaar,empty_prediction,1.0,البندقية . وقد وصلت هذه الصناعة إلى مرحلة الإنتاج الرأسمالي بالجملة ،,,Model returned empty text
closed,Gemini Pro,printed,Akbaar_174,Akbaar,empty_prediction,1.0,عاش في الصين فترة طويله ويتكلم الصينيه مثل الصينيين.,,Model returned empty text
closed,Gemini Pro,printed,Akbaar_209,Akbaar,empty_prediction,1.0,بين الهيروغليفية المصرية والكتابة الصينية القديمة . في عام 2009,,Model returned empty text
closed,Gemini Pro,printed,Akbaar_313,Akbaar,empty_prediction,1.0,تعضيره وفعاليته العلاجية .,,Model returned empty text
closed,Gemini Pro,printed,Akbaar_380,Akbaar,empty_prediction,1.0,والحضارات استعملت هذه المادة و أثنتت وجودها وقدرتها على تحمل عوامل الطبيعة,,Model returned empty text
closed,Gemini Pro,printed,Akbaar_423,Akbaar,empty_prediction,1.0,عهدها ذروة الهجرة من اليمن .,,Model returned empty text
closed,Gemini Pro,printed,Akbaar_426,Akbaar,empty_prediction,1.0,كما أ سلفنا إذ لاشيء يأتي من فراغ ، واسمحوا لي أن أقتطف نبذة من حكم وأمثال بنى هلال,,Model returned empty text
closed,Gemini Pro,printed,Akbaar_511,Akbaar,empty_prediction,1.0,وطباعة وحسده ، فأنتزع الدواء من ممكن الداء ،,,Model returned empty text
